iter	RMSE
0	20.36262033
1	20.32259172
2	20.2900959
3	20.2495265
4	20.22462103
5	20.19404988
6	20.15972982
7	20.13331176
8	20.11133005
9	20.09056072
10	20.0695011
11	20.04777826
12	20.02904035
13	20.00472532
14	19.98868367
15	19.97049401
16	19.95622964
17	19.93982856
18	19.92100909
19	19.90579003
20	19.89285731
21	19.87819473
22	19.86490399
23	19.85206837
24	19.83770356
25	19.82346464
26	19.80789577
27	19.79282557
28	19.78310494
29	19.77326774
30	19.76047465
31	19.74422216
32	19.73260887
33	19.71868628
34	19.71005667
35	19.7002062
36	19.68970128
37	19.68234522
38	19.67040298
39	19.66064237
40	19.65198545
41	19.64319541
42	19.63391128
43	19.62214215
44	19.61437244
45	19.60545107
46	19.59938542
47	19.59371841
48	19.58425642
49	19.57641953
50	19.57156655
51	19.56516137
52	19.55882833
53	19.552818
54	19.5439924
55	19.5370775
56	19.53059367
57	19.52096089
58	19.51265635
59	19.50843127
60	19.50082015
61	19.49263475
62	19.48472266
63	19.47507638
64	19.47008558
65	19.46243363
66	19.45563428
67	19.45034976
68	19.44262936
69	19.4367995
70	19.42930867
71	19.42197577
72	19.41681001
73	19.41206372
74	19.40619334
75	19.39994861
76	19.3931948
77	19.38934287
78	19.38271916
79	19.37874933
80	19.37252929
81	19.36519062
82	19.36028061
83	19.35588858
84	19.35088381
85	19.34473298
86	19.34095732
87	19.33305169
88	19.32627433
89	19.31770197
90	19.31291057
91	19.30584305
92	19.30149823
93	19.29411133
94	19.2882628
95	19.28200334
96	19.27604287
97	19.26921963
98	19.26475654
99	19.25780625
100	19.25338331
101	19.24637729
102	19.240881
103	19.23648913
104	19.23137669
105	19.22556036
106	19.22066685
107	19.2097821
108	19.20497939
109	19.20028248
110	19.19663655
111	19.19052222
112	19.18499888
113	19.18073594
114	19.17590727
115	19.16746609
116	19.16094591
117	19.15500997
118	19.15186163
119	19.14543946
120	19.14038098
121	19.13426922
122	19.13066758
123	19.12528328
124	19.11947643
125	19.1129475
126	19.10790745
127	19.10405482
128	19.10096382
129	19.09498316
130	19.09011926
131	19.08544669
132	19.0811219
133	19.07602381
134	19.07076477
135	19.06572201
136	19.06091443
137	19.056727
138	19.05191764
139	19.04755889
140	19.04214732
141	19.03566678
142	19.02942472
143	19.02433993
144	19.01989527
145	19.0147985
146	19.00971319
147	19.00509806
148	18.99862512
149	18.99503929
150	18.99098741
151	18.98708999
152	18.98057651
153	18.97509372
154	18.97003981
155	18.96590993
156	18.95867786
157	18.95380186
158	18.9465267
159	18.93984791
160	18.93421156
161	18.92885649
162	18.92464529
163	18.91784927
164	18.90940593
165	18.90557872
166	18.90155117
167	18.89577462
168	18.8897314
169	18.8833945
170	18.87494391
171	18.87172007
172	18.86863765
173	18.86280539
174	18.85709585
175	18.85094634
176	18.84458005
177	18.83900682
178	18.83403226
179	18.82748014
180	18.82296521
181	18.81658061
182	18.81255504
183	18.80566999
184	18.80000993
185	18.79652678
186	18.79329584
187	18.78595669
188	18.78082389
189	18.77754283
190	18.77022524
191	18.76371403
192	18.75886591
193	18.75176185
194	18.74752505
195	18.74130561
196	18.73743526
197	18.73054246
198	18.72518617
199	18.71910837
200	18.71300559
201	18.70632099
202	18.70108528
203	18.69564552
204	18.68880432
205	18.68370106
206	18.67661355
207	18.67121193
208	18.66473741
209	18.66032336
210	18.65446371
211	18.64791929
212	18.64161933
213	18.63412219
214	18.62710273
215	18.61839166
216	18.61500992
217	18.61076995
218	18.60677543
219	18.60174642
220	18.59552838
221	18.59024599
222	18.58489417
223	18.57946398
224	18.5723469
225	18.56510196
226	18.55930552
227	18.55567244
228	18.54834034
229	18.54213945
230	18.53487446
231	18.52754716
232	18.52150172
233	18.51428154
234	18.50662316
