iter	Logloss
0	0.6863913244
1	0.6793527572
2	0.6724547021
3	0.6667396635
4	0.6599421852
5	0.6541297159
6	0.6485538822
7	0.643271891
8	0.6376136165
9	0.6327541897
10	0.6276271394
11	0.6217891391
12	0.6175601468
13	0.6127999644
14	0.6081939177
15	0.6037915643
16	0.5998947949
17	0.5962851352
18	0.5922574245
19	0.5889380218
20	0.5848283934
21	0.5808662165
22	0.5768757503
23	0.5728042976
24	0.5697152678
25	0.5659689065
26	0.56225204
27	0.5587622831
28	0.5551728328
29	0.5523562046
30	0.5493243185
31	0.5458568613
32	0.5425380661
33	0.5395839
34	0.5364619391
35	0.5330674058
36	0.529755979
37	0.5267360462
38	0.5236598456
39	0.5207688515
40	0.5186679667
41	0.516555693
42	0.5132822061
43	0.5103664582
44	0.5082044242
45	0.5055319342
46	0.5029524631
47	0.5004095293
48	0.4982061781
49	0.495729652
50	0.4933024262
51	0.4906181655
52	0.4884463362
53	0.4858415142
54	0.4839742559
55	0.48190003
56	0.4798570337
57	0.4779382298
58	0.4758366095
59	0.4741375377
60	0.472360323
61	0.4705353044
62	0.4687333186
63	0.4670622817
64	0.4651391637
65	0.4635721564
66	0.461804038
67	0.4602626045
68	0.4584222719
69	0.456876739
70	0.4555826459
71	0.4541081586
72	0.4526854825
73	0.4513270021
74	0.4497954045
75	0.4486191619
76	0.4471152094
77	0.4457753431
78	0.4443383628
79	0.4431728449
80	0.4420216692
81	0.4407016694
82	0.4392479971
83	0.4381252225
84	0.4368810218
85	0.4358547428
86	0.4348444518
87	0.4338810742
88	0.4326254556
89	0.4314904919
90	0.430634617
91	0.4297041581
92	0.4285324761
93	0.4278494851
94	0.4269915668
95	0.4259409637
96	0.4250447968
97	0.4241229987
98	0.4231745243
99	0.4222324445
100	0.4212452628
101	0.4202334685
102	0.4195507409
103	0.4186987966
104	0.4176014373
105	0.4167753743
106	0.4158030717
107	0.4149123308
108	0.4142709658
109	0.4135590486
110	0.413055009
111	0.4122450543
112	0.4119846229
113	0.4116211039
114	0.4108804651
115	0.4102690502
116	0.4095932658
117	0.4087665124
118	0.4081863181
119	0.4074051788
120	0.4069944853
121	0.406491765
122	0.4058372558
123	0.4053531554
124	0.4046581721
125	0.4039518935
126	0.4034657806
127	0.4028405072
128	0.4022455875
129	0.401669385
130	0.4011324669
131	0.4003569882
132	0.3999571347
133	0.3994826705
134	0.3991792446
135	0.3985159672
136	0.3979582423
137	0.3972744628
138	0.3967314965
139	0.3965887731
140	0.3960557826
141	0.3955598313
142	0.3950699988
143	0.39475558
144	0.3941500378
145	0.3936019895
146	0.3929400601
147	0.3925138489
148	0.3918768376
149	0.3914487907
150	0.3910685635
151	0.3909536376
152	0.3907397472
153	0.3903504694
154	0.3900445649
155	0.3895675995
156	0.3891114944
157	0.3886268256
158	0.38831257
159	0.3879122506
160	0.3874295537
161	0.3871687079
162	0.3867168089
163	0.3863347655
164	0.3858617693
165	0.3855879751
166	0.3851961101
167	0.3848260564
168	0.3845430476
169	0.3842139319
170	0.3839631523
171	0.3836116667
172	0.3833451432
173	0.3831285448
174	0.3827947997
175	0.3823705852
176	0.3818420963
177	0.3815800974
178	0.3812073197
179	0.3810427676
180	0.3807294779
181	0.380461869
182	0.3799189214
183	0.3797436737
184	0.3793951643
185	0.3791094924
186	0.378757309
187	0.3784117017
188	0.3781730722
189	0.3778961071
190	0.3776633262
191	0.3775206051
192	0.3774303357
193	0.3771113359
194	0.3769355571
195	0.3766463136
196	0.3764062033
197	0.3761258611
198	0.3758531783
199	0.3755585301
200	0.3752585547
201	0.3747806882
202	0.374535926
203	0.3742312758
204	0.3738984836
205	0.3736049956
206	0.3733518049
207	0.3730433034
208	0.3727918576
209	0.372570935
210	0.3724183745
211	0.3722056205
212	0.3718401641
213	0.3717480795
214	0.3714989748
215	0.3712074894
216	0.3710082522
217	0.3707781314
218	0.3705140966
219	0.3702340752
220	0.3700766006
221	0.3698294611
222	0.3696495727
223	0.3693500743
224	0.369145881
225	0.3689538534
226	0.3686971105
227	0.3685672111
228	0.3682133102
229	0.3680317026
230	0.3677146562
231	0.3674883458
232	0.3671655692
233	0.3670208058
234	0.366718274
235	0.3666594508
236	0.3664412706
237	0.3662622733
238	0.3660290379
239	0.365851782
240	0.3655783051
241	0.3653958984
242	0.3653366562
243	0.3651229102
244	0.3649565623
245	0.3647106248
246	0.3643522255
247	0.3640822704
248	0.3638064449
249	0.3636358593
250	0.3634369545
251	0.3632259686
252	0.3630128587
253	0.3627806614
254	0.3624860654
255	0.3622763099
256	0.3620228786
257	0.3617875275
258	0.3616557604
259	0.3614145649
260	0.3612924614
261	0.3610975422
262	0.3609477816
263	0.3607462213
264	0.3605973643
265	0.3604095997
266	0.3602523112
267	0.3601583108
268	0.3599634787
269	0.3597660108
270	0.3596311467
271	0.3595423834
272	0.3594189645
273	0.3592228378
274	0.359001377
275	0.3587966753
276	0.3586387415
277	0.3585503624
278	0.3584762173
279	0.358270168
280	0.3581605765
281	0.357965917
282	0.3578904599
283	0.3576618172
284	0.3574573731
285	0.3573386795
286	0.3571626252
287	0.3570185885
288	0.3568050861
289	0.3566636681
290	0.3565242413
291	0.3563648193
292	0.3561712963
293	0.3559195313
294	0.3557072699
295	0.3555639183
296	0.3553888931
297	0.3552087797
298	0.3550751124
299	0.3549225056
300	0.3547310104
301	0.3545788577
302	0.3545024224
303	0.3542536461
304	0.3541800756
305	0.3539774402
306	0.3539005773
307	0.353786305
308	0.3536362789
309	0.3534192619
310	0.353209532
311	0.3530434533
312	0.3528995889
313	0.3528678703
314	0.3527585753
315	0.3526492575
316	0.3525032358
317	0.3522960652
318	0.3521428939
319	0.352060031
320	0.3520270542
321	0.3519078672
322	0.3516908297
323	0.3514039229
324	0.3512725756
325	0.3511264211
326	0.3509391021
327	0.3507541659
328	0.3506248353
329	0.3505911745
330	0.3505826321
331	0.3504796512
332	0.3503513976
333	0.3502876201
334	0.3500812114
335	0.3498925841
336	0.3496877104
337	0.349609077
338	0.3494442
339	0.3492271137
340	0.3491904914
341	0.3490159223
342	0.3489417078
343	0.3487901163
344	0.3486928919
345	0.348565266
346	0.34839562
347	0.3481632304
348	0.3480644597
349	0.3479037523
350	0.3478441107
351	0.3476909658
352	0.3475817928
353	0.3475371572
354	0.347410233
355	0.3473061694
356	0.3471206532
357	0.3470803483
358	0.3469285744
359	0.346750302
360	0.3466194876
361	0.3465833775
362	0.3463247341
363	0.3460965708
364	0.3459327917
365	0.3458268119
366	0.3457302994
367	0.3456189518
368	0.3455877624
369	0.3454566956
370	0.3453144763
371	0.3451237856
372	0.3450361118
373	0.3449154746
374	0.3447116737
375	0.3445699093
376	0.3444675827
377	0.3444034303
378	0.344270111
379	0.344257912
380	0.3442378849
381	0.3441241012
382	0.3440020169
383	0.3439934664
384	0.3438335036
385	0.3436936812
386	0.3436683444
387	0.343533623
388	0.3434841198
389	0.3434250862
390	0.3432606461
391	0.3430238183
392	0.3429320702
393	0.342847735
394	0.3427837211
395	0.3426444774
396	0.3425798412
397	0.3425289754
398	0.3424676476
399	0.3423200614
400	0.342232601
401	0.3422120778
402	0.3421178449
403	0.3419923088
404	0.3418153482
405	0.3416824242
406	0.3415969405
407	0.3414418947
408	0.3413335302
409	0.3411532584
410	0.3410143427
411	0.3409542322
412	0.3408867695
413	0.340846031
414	0.3408382706
415	0.3406991996
416	0.3405321799
417	0.3404632846
418	0.3403944226
419	0.3402315091
420	0.3401198145
421	0.3400338901
422	0.3400146747
423	0.3398988185
424	0.3398944088
425	0.3397494401
426	0.3397273203
427	0.339665565
428	0.3395759145
429	0.3395134214
430	0.3394892242
431	0.3393290712
432	0.3392484949
433	0.3390277063
434	0.338836692
435	0.3387293766
436	0.3386894832
437	0.3384649331
438	0.3383498887
439	0.3383009105
440	0.3382068835
441	0.3381190566
442	0.3379997738
443	0.3379041151
444	0.3377924216
445	0.3377812726
446	0.3376472225
447	0.3374867321
448	0.3373988718
449	0.337336428
450	0.3372720375
451	0.3372041312
452	0.337088654
453	0.3369445428
454	0.3367669119
455	0.3366594771
456	0.3366122104
457	0.3365222782
458	0.3364194794
459	0.3362484508
460	0.3360523544
461	0.3359692382
462	0.3358843535
463	0.335841753
464	0.335717072
465	0.3356406041
466	0.3354743449
467	0.3352979063
468	0.335264496
469	0.3352089274
470	0.3351550336
471	0.335087227
472	0.3349723751
473	0.3349162327
474	0.3348582217
475	0.334774849
476	0.3347544276
477	0.334655741
478	0.3346124491
479	0.3345526202
480	0.3344759544
481	0.3344099317
482	0.3342315526
483	0.3341392091
484	0.3340301103
485	0.3339244486
486	0.3338302174
487	0.3337168013
488	0.3336326653
489	0.3335933423
490	0.3334926411
491	0.3334201124
492	0.3331911719
493	0.3330340031
494	0.332993367
495	0.3328795343
496	0.3327569363
497	0.3326565909
498	0.3325910596
499	0.3325234725
500	0.3324161103
501	0.3322715654
502	0.3321548529
503	0.33207259
504	0.3320048481
505	0.3319955423
506	0.3317976172
507	0.3316824011
508	0.3316491075
509	0.3315893339
510	0.331455664
511	0.3313498884
512	0.331296778
513	0.3311566806
514	0.3311419304
515	0.3311415821
516	0.3311101325
517	0.3310430843
518	0.3310412171
519	0.3309268239
520	0.3308293927
521	0.3307164207
522	0.3305946375
523	0.3305749901
524	0.3305258537
525	0.330411999
526	0.3301910169
527	0.3300844237
528	0.3300192429
529	0.3299313252
530	0.3297939358
531	0.3297010253
532	0.3295937786
533	0.3295567281
534	0.3294844642
535	0.3293351082
536	0.3292634532
537	0.3291348594
538	0.3290375318
539	0.3288729099
540	0.3287526855
541	0.3287223699
542	0.3285742913
543	0.3284912639
544	0.3283751259
545	0.328295496
546	0.3282130983
547	0.3281121719
548	0.328005298
549	0.3279289154
550	0.327814374
551	0.327680785
552	0.327558103
553	0.3274564681
554	0.3272725916
555	0.3271876867
556	0.3270865097
557	0.3270068041
558	0.3269444685
559	0.3268769961
560	0.3266913734
561	0.3266273425
562	0.3265434725
563	0.3264585868
564	0.3263095428
565	0.3261734182
566	0.3260301868
567	0.3259726009
568	0.3258626872
569	0.325708455
570	0.3256550001
571	0.3255978504
572	0.3255294416
573	0.3254957785
574	0.325421142
575	0.3253290336
576	0.3252413885
577	0.3252056101
578	0.3250835957
579	0.3249607731
580	0.3248733236
581	0.324832983
582	0.3248137235
583	0.3247423776
584	0.324570092
585	0.3245230489
586	0.3244905475
587	0.3243770458
588	0.3242989853
589	0.3242068874
590	0.3240522125
591	0.3239687294
592	0.323863668
593	0.3238176112
594	0.3237302968
595	0.3236242455
596	0.3236184131
597	0.3235355592
598	0.3233985516
599	0.3233247113
600	0.3232752486
601	0.3231963139
602	0.3230730294
603	0.3229525261
604	0.3228588723
605	0.3228119692
606	0.3226975771
607	0.32265266
608	0.3226053115
609	0.322566132
610	0.3225179477
611	0.3224131868
612	0.3222796821
613	0.3221009411
614	0.3220395676
615	0.3219950492
616	0.3218617196
617	0.3218212766
618	0.3217357207
619	0.3216631528
620	0.3216440268
621	0.3215971613
622	0.321465358
623	0.3214213369
624	0.3213756398
625	0.3212758594
626	0.321206973
627	0.3211636304
628	0.321097948
629	0.3209966804
630	0.3209685083
631	0.3209135054
632	0.3208719485
633	0.3207597148
634	0.3207133717
635	0.3206143734
636	0.3204778826
637	0.3204177676
638	0.3203195655
639	0.3202337563
640	0.3201635922
641	0.320068365
642	0.3199492645
643	0.3198507871
644	0.3197944937
645	0.3197601103
646	0.3196915612
647	0.3196166263
648	0.3195180919
649	0.3193062044
650	0.3193052762
651	0.3192221448
652	0.3190995385
653	0.319002659
654	0.3188797374
655	0.3188706429
656	0.3188029248
657	0.318721589
658	0.3185792279
659	0.3185028217
660	0.3184890258
661	0.3184373794
662	0.31837203
663	0.3182901266
664	0.3182178919
665	0.3181773246
666	0.3181102031
667	0.3180363657
668	0.3180160627
669	0.3178795785
670	0.3178192747
671	0.3176804987
672	0.3176247714
673	0.3174806534
674	0.3174112019
675	0.3172311992
676	0.3171744419
677	0.3169423387
678	0.3168621938
679	0.316693183
680	0.316616717
681	0.3165554039
682	0.3164670609
683	0.3163877589
684	0.3163017532
685	0.3162357915
686	0.3161311271
687	0.31606564
688	0.3159458919
689	0.3158848651
690	0.3157122531
691	0.3156499258
692	0.3154915125
693	0.3153924388
694	0.31534154
695	0.3152412708
696	0.3151903398
697	0.3150980424
698	0.3150462193
699	0.3149694767
700	0.3148823024
701	0.3147673945
702	0.3146640622
703	0.3146053184
704	0.3146045644
705	0.3145198291
706	0.3144556637
707	0.3143290585
708	0.3142468164
709	0.3142076279
710	0.3140861301
711	0.3139863268
712	0.3139162438
713	0.31379581
714	0.3137039993
715	0.3136025562
716	0.3135272459
717	0.3135060072
718	0.3134577949
719	0.3133975364
720	0.3132075553
721	0.3131144664
722	0.3130249516
723	0.3129678844
724	0.3128967459
725	0.3127858022
726	0.3127104495
727	0.3126073174
728	0.3124839454
729	0.3124018831
730	0.3123744237
731	0.3123123483
732	0.3122705477
733	0.3122037476
734	0.3121289053
735	0.3120484364
736	0.3119957204
737	0.3119272502
738	0.3119042339
739	0.3118366948
740	0.3117918659
741	0.3117247737
742	0.3116697322
743	0.3116200379
744	0.311561301
745	0.3114676225
746	0.3113422684
747	0.3113168556
748	0.3112482645
749	0.3112314984
750	0.3111503446
751	0.311109956
752	0.3110351884
753	0.3110124239
754	0.3109447615
755	0.3107920947
756	0.3106593806
757	0.3106133394
758	0.3105198934
759	0.3104154609
760	0.3103393236
761	0.3102427219
762	0.3101620442
763	0.3100770137
764	0.309999282
765	0.3098743609
766	0.3097496074
767	0.3096996157
768	0.3096038156
769	0.3094411241
770	0.3093653622
771	0.3092769266
772	0.3091972929
773	0.309091601
774	0.3090301382
775	0.3089720651
776	0.3088664844
777	0.3087478303
778	0.3087049332
779	0.3086712548
780	0.3086107519
781	0.308549593
782	0.3084966132
783	0.3084748907
784	0.3084072222
785	0.3083598973
786	0.3082456105
787	0.308145021
788	0.3080563327
789	0.3080101647
790	0.3079451677
791	0.3078798119
792	0.3078083755
793	0.3077217915
794	0.3076547367
795	0.307593237
796	0.3075100824
797	0.3074493895
798	0.3073929147
799	0.3073315314
800	0.3071746206
801	0.3070827419
802	0.3069667887
803	0.3068677924
804	0.3067887816
805	0.3066962615
806	0.3065786947
807	0.3065137479
808	0.3064414663
809	0.3063500328
810	0.3062952399
811	0.3062164963
812	0.3062100651
813	0.3061554517
814	0.3060750104
815	0.3060453329
816	0.3059726969
817	0.305863565
818	0.3058104714
819	0.3057180432
820	0.3056053377
821	0.3055127365
822	0.3054557758
823	0.3054140111
824	0.3053869997
825	0.3052802877
826	0.3052238213
827	0.3052052854
828	0.305165057
829	0.3050787629
830	0.3049616462
831	0.3048859285
832	0.3048319215
833	0.3047424316
834	0.3046803131
835	0.304591897
836	0.3045230771
837	0.3044570926
838	0.3043695799
839	0.3043071973
840	0.3042421271
841	0.3041634412
842	0.3040993349
843	0.3040070721
844	0.3039325671
845	0.3038617219
846	0.3038350284
847	0.3037878029
848	0.3036867785
849	0.3036269264
850	0.3035573203
851	0.3034725385
852	0.303419261
853	0.3033192012
854	0.3031786054
855	0.3031606703
856	0.3030746047
857	0.3030093241
858	0.3029394223
859	0.3028890525
860	0.3028112591
861	0.302743059
862	0.302593859
863	0.3025510577
864	0.3024417175
865	0.3023829868
866	0.3023414839
867	0.3022943366
868	0.3022062875
869	0.3021370658
870	0.3020949662
871	0.3020472932
872	0.3019406311
873	0.3018652851
874	0.3017847933
875	0.3017003381
876	0.3015907915
877	0.3015240249
878	0.301438188
879	0.30139609
880	0.3012808105
881	0.3011981874
882	0.3010945625
883	0.3010185723
884	0.3009159061
885	0.300802366
886	0.3007314796
887	0.300653687
888	0.3005591944
889	0.3003994344
890	0.3003265082
891	0.3002884021
892	0.3002331938
893	0.3001810636
894	0.3001243994
895	0.3000525031
896	0.3000052099
897	0.2999497259
