,loss,accuracy,val_loss,val_accuracy
0,9.006431579589844,0.0956699475646019,90.35409545898438,0.02850356325507164
1,5.237546443939209,0.33286499977111816,47.19767761230469,0.02850356325507164
2,3.89038348197937,0.47211650013923645,19.17253875732422,0.03230403736233711
3,3.064317464828491,0.5755268931388855,3.932115077972412,0.29422011971473694
4,2.551785945892334,0.6443734765052795,1.9917932748794556,0.474346786737442
5,2.1575448513031006,0.6938817501068115,3.348268985748291,0.32098180055618286
6,1.7904078960418701,0.7451015710830688,0.8742122650146484,0.7499604225158691
7,1.4602173566818237,0.7891684770584106,0.7145927548408508,0.7882818579673767
8,1.2271414995193481,0.819900393486023,0.4103792905807495,0.8749802112579346
9,1.1111843585968018,0.8409758806228638,0.5520356893539429,0.8520981669425964
10,0.8716806173324585,0.8711968064308167,0.3677700459957123,0.8857482075691223
11,0.7579421997070312,0.8882104754447937,0.353530615568161,0.8935866951942444
12,0.641899585723877,0.9013156294822693,0.22323930263519287,0.9289786219596863
13,0.5996168851852417,0.9100523591041565,0.19150234758853912,0.9429137110710144
14,0.4970536231994629,0.922799825668335,0.21851977705955505,0.9361836910247803
15,0.4832046627998352,0.9284455180168152,0.1767432540655136,0.9433887600898743
16,0.4305013418197632,0.9340912103652954,0.2796741724014282,0.9223278164863586
17,0.3762659728527069,0.9424703121185303,0.15546494722366333,0.9554235935211182
18,0.3535059690475464,0.9452037215232849,0.15537351369857788,0.9523357152938843
19,0.3380197584629059,0.9478349685668945,0.14009827375411987,0.9594615697860718
20,0.3112146258354187,0.9528675675392151,0.17455936968326569,0.9490103125572205
21,0.28872230648994446,0.9549112319946289,0.1907414197921753,0.9470309019088745
22,0.2770380675792694,0.9565972685813904,0.1846139281988144,0.949564516544342
23,0.264626681804657,0.9585898518562317,0.12912438809871674,0.9638954997062683
24,0.23846130073070526,0.9620130062103271,0.19407682120800018,0.9452890157699585
25,0.2257552295923233,0.9646442532539368,0.25117290019989014,0.9323832392692566
26,0.21160881221294403,0.966432511806488,0.15134726464748383,0.9566112160682678
27,0.20078355073928833,0.967888593673706,0.13556258380413055,0.9620743989944458
28,0.1850307285785675,0.970392107963562,0.1294165849685669,0.962470293045044
29,0.17682576179504395,0.9712862372398376,0.12425549328327179,0.965954065322876
