iter	Logloss
0	0.6866522526
1	0.6794071778
2	0.6728065413
3	0.6665456623
4	0.66119502
5	0.6578742838
6	0.6518825757
7	0.6461776393
8	0.6418651803
9	0.6379450646
10	0.6330110323
11	0.6275332099
12	0.6234820289
13	0.619026318
14	0.6146136207
15	0.6098621435
16	0.6054097874
17	0.6009460385
18	0.5975562103
19	0.5931433075
20	0.5893460972
21	0.5850747792
22	0.5811343668
23	0.5771740953
24	0.5735275095
25	0.5700742568
26	0.5660215805
27	0.5620091552
28	0.5584488409
29	0.5546958289
30	0.55103353
31	0.5483884097
32	0.5444991308
33	0.5409632491
34	0.5378259348
35	0.535745348
36	0.5328223769
37	0.5295649585
38	0.5273189905
39	0.5240638701
40	0.5211823052
41	0.5182298275
42	0.5151713934
43	0.513424114
44	0.5107451482
45	0.5085123751
46	0.5060569626
47	0.503547453
48	0.5011566473
49	0.4989839651
50	0.4964260422
51	0.4942571405
52	0.4915767533
53	0.4894345672
54	0.487579685
55	0.4859585715
56	0.4841251441
57	0.482530158
58	0.4802210124
59	0.4784562921
60	0.4770584255
61	0.4749699077
62	0.4732302476
63	0.4711724742
64	0.4691904501
65	0.4672593648
66	0.4658239192
67	0.4641799128
68	0.4633257526
69	0.4616701355
70	0.4602315828
71	0.4586353837
72	0.4568956005
73	0.4556186018
74	0.4541512774
75	0.4528248633
76	0.4516622345
77	0.4503466005
78	0.4488405685
79	0.4475231184
80	0.4463108365
81	0.4455464922
82	0.4443677793
83	0.4431931974
84	0.4418396177
85	0.4407468803
86	0.439395442
87	0.4381702598
88	0.4369402131
89	0.4357163171
90	0.434687888
91	0.4335422192
92	0.4327140793
93	0.4319684363
94	0.4308677603
95	0.4298674405
96	0.4286853854
97	0.4276269307
98	0.4266482026
99	0.4255180175
100	0.4249788419
101	0.4240491901
102	0.4230272528
103	0.4221024919
104	0.421128921
105	0.4201496712
106	0.4199768074
107	0.4193371771
108	0.4187569822
109	0.4178937363
110	0.4172221192
111	0.4166808737
112	0.4158117178
113	0.415098591
114	0.4143882355
115	0.4137497324
116	0.4129474995
117	0.412136978
118	0.4115008621
119	0.4108914749
120	0.4101517289
121	0.4094373882
122	0.4086340337
123	0.4080017246
124	0.407262461
125	0.4066423427
126	0.4060783295
127	0.4055272748
128	0.4050128713
129	0.4044387307
130	0.403895528
131	0.4030582315
132	0.4022572978
133	0.4016174271
134	0.4009676436
135	0.4002145466
136	0.3996677838
137	0.3992682348
138	0.3985345133
139	0.3982162563
140	0.397503825
141	0.3971156961
142	0.3965903196
143	0.3958984726
144	0.3954291051
145	0.3949325379
146	0.3947883821
147	0.3942351263
148	0.3935321071
149	0.3931784978
150	0.392665018
151	0.3921421107
152	0.3916750524
153	0.3913158506
154	0.3909693982
155	0.3905059756
156	0.3901110981
157	0.3899111752
158	0.3894268446
159	0.3890346033
160	0.3883508176
161	0.3880427604
162	0.387709467
163	0.387616025
164	0.3872549651
165	0.3868371576
166	0.3865351975
167	0.3861511751
168	0.3857338261
169	0.3856462595
170	0.3854511179
171	0.3850748822
172	0.3847936014
173	0.3846561351
174	0.384215053
175	0.3837117708
176	0.3832957296
177	0.3831467133
178	0.3829571741
179	0.3825535104
180	0.382191286
181	0.381996038
182	0.3816280901
183	0.3814215874
184	0.3810022031
185	0.3808275299
186	0.3805632624
187	0.3802481407
188	0.3799006545
189	0.379548298
190	0.3792806055
191	0.3789292336
192	0.3786170703
193	0.3781714913
194	0.3778084556
195	0.3774589451
196	0.377211138
197	0.3769311546
198	0.3766561772
199	0.3763768677
200	0.3761868791
201	0.3759912359
202	0.3757484488
203	0.3754865318
204	0.3751328683
205	0.3747463715
206	0.3744523943
207	0.3743102341
208	0.3739486284
209	0.3738266398
210	0.3736819483
211	0.3734973261
212	0.3730958171
213	0.3727752038
214	0.3725361284
215	0.3722067169
216	0.3719044119
217	0.371601637
218	0.3712661239
219	0.3710052868
220	0.3706382248
221	0.3703576541
222	0.3701040957
223	0.3698674335
224	0.3696003777
225	0.3694282778
226	0.369161115
227	0.3690104819
228	0.3687616525
229	0.36849896
230	0.368162863
231	0.3679726346
232	0.3677334625
233	0.3674808019
234	0.3672115144
235	0.366867492
236	0.366727683
237	0.3665251531
238	0.3662395718
239	0.3660647633
240	0.3659048854
241	0.3656535566
242	0.3653051667
243	0.3649811367
244	0.3646693475
245	0.3644588426
246	0.3642755412
247	0.3640880414
248	0.3639041734
249	0.3638031064
250	0.3635681536
251	0.3633707222
252	0.3631800118
253	0.3629456193
254	0.3627500741
255	0.3624890842
256	0.3622426382
257	0.3621357811
258	0.3618891538
259	0.3617091152
260	0.3616356341
261	0.3613937913
262	0.3612218547
263	0.3610674854
264	0.3608051198
265	0.3605049476
266	0.3601656449
267	0.3598626615
268	0.3596796599
269	0.3596207134
270	0.3594303583
271	0.3592866353
272	0.3590553335
273	0.3589238434
274	0.3587404751
275	0.3584536312
276	0.3583082722
277	0.3581093382
278	0.357993929
279	0.3578451347
280	0.3576627361
281	0.3574270692
282	0.3573596042
283	0.3571593439
284	0.3569571266
285	0.3568238331
286	0.3567042044
287	0.3564090267
288	0.356185097
289	0.3561129302
290	0.3559069997
291	0.3557430451
292	0.3555414004
293	0.3553342883
294	0.355198186
295	0.3551060401
296	0.355000819
297	0.3549306806
298	0.3546568445
299	0.3545499483
300	0.3544867956
301	0.354278709
302	0.3541198219
303	0.353989771
304	0.3537821595
305	0.3536342973
306	0.3534081987
307	0.3533552621
308	0.3532769825
309	0.3532203499
310	0.3530421614
311	0.3529032396
312	0.3527926159
313	0.3527648912
314	0.3525556276
315	0.3524472348
316	0.3524102824
317	0.352290907
318	0.3520870348
319	0.3519195803
320	0.3517731197
321	0.351695168
322	0.3516758078
323	0.3515217107
324	0.3513163879
325	0.351166623
326	0.3510749269
327	0.351033182
328	0.3509601569
329	0.3507678392
330	0.350589797
331	0.3503809526
332	0.350306519
333	0.3501719776
334	0.3501478641
335	0.349943608
336	0.3497784895
337	0.3496861005
338	0.3495683455
339	0.349319267
340	0.3490891732
341	0.3489434428
342	0.3488201332
343	0.3487530616
344	0.3485669582
345	0.3484859838
346	0.3482898484
347	0.3481651907
348	0.3480559195
349	0.3479364119
350	0.3477999417
351	0.3476066745
352	0.3475840004
353	0.3474642438
354	0.3474095587
355	0.3472465998
356	0.3471019831
357	0.3470229079
358	0.3468930071
359	0.3468141135
360	0.346662614
361	0.3464380692
362	0.3462127018
363	0.3461455149
364	0.3460482035
365	0.3458700538
366	0.3455807198
367	0.345508333
368	0.3453729006
369	0.3453151738
370	0.3451899668
371	0.3450840789
372	0.3449984395
373	0.3447909002
374	0.3445938609
375	0.3444360171
376	0.3442430184
377	0.3441851077
378	0.3441440615
379	0.3440562395
380	0.3438626654
381	0.3436990362
382	0.3435284367
383	0.3434233495
384	0.3433403543
385	0.3431455685
386	0.3430053271
387	0.3428481529
388	0.3427306685
389	0.3426904806
390	0.3425546301
391	0.3424299069
392	0.3423547779
393	0.3421138458
394	0.3420150963
395	0.3418956848
396	0.3416814155
397	0.3416728468
398	0.3416446501
399	0.341567739
400	0.3413285578
401	0.3412461097
402	0.3409897993
403	0.3408259644
404	0.3406957176
405	0.3406158477
406	0.3404800798
407	0.3404278132
408	0.3403211345
409	0.340206856
410	0.3400807466
411	0.339929291
412	0.3398328056
413	0.3396454032
414	0.3395097701
415	0.3393534527
416	0.3392678916
417	0.3391710914
418	0.3390507715
419	0.3389477607
420	0.3389003806
421	0.3387571355
422	0.3386017067
423	0.3384992202
424	0.3383840435
425	0.3383210639
426	0.3382718119
427	0.3382128874
428	0.3381003348
429	0.3379719791
430	0.3379023051
431	0.3378424879
432	0.337612571
433	0.3375916037
434	0.3374817159
435	0.3374195627
436	0.3373982481
437	0.3372649454
438	0.3371731486
439	0.3370487544
440	0.3369961375
441	0.3368360281
442	0.3367434026
443	0.3366795426
444	0.3366492224
445	0.3364817028
446	0.3363054408
447	0.3361613327
448	0.3360624241
449	0.3359076744
450	0.3358673305
451	0.3358470993
452	0.3358081133
453	0.335749748
454	0.335637797
455	0.3355500824
456	0.3355101968
457	0.3354242677
458	0.3353148846
459	0.33520738
460	0.3351757109
461	0.3350647923
462	0.3349388785
463	0.3348611543
464	0.3347994592
465	0.334717618
466	0.3346988981
467	0.3345995649
468	0.3345234762
469	0.3344208242
470	0.3343961314
471	0.3342530892
472	0.334156406
473	0.334091345
474	0.334023348
475	0.3338920644
476	0.3338760474
477	0.3337712599
478	0.3336594545
479	0.3335204501
480	0.3334329304
481	0.3333674309
482	0.3332456108
483	0.3331215254
484	0.3330637352
485	0.3329970152
486	0.3328984704
487	0.3327876424
488	0.3327106256
489	0.3326102744
490	0.3325130076
491	0.3324311077
492	0.3323849899
493	0.3322945141
494	0.3321703226
495	0.3321386439
496	0.3320421711
497	0.3319456653
498	0.3318556974
499	0.3317145485
500	0.3315620758
501	0.3314311763
502	0.3313961898
503	0.3313084925
504	0.3311833341
505	0.3310956705
506	0.331024449
507	0.3309398348
508	0.3308775776
509	0.3308048215
510	0.3307307684
511	0.3307288479
512	0.3305948056
513	0.3304711047
514	0.3304308058
